correct value,prediction
1.0,1.0010982
0.0,0.2652158
1.0,1.0860841
0.0,0.33519965
1.0,1.0032911
1.0,0.52613
1.0,0.41765577
0.0,0.1196198
1.0,0.40750927
1.0,0.44699848
1.0,0.9066505
0.0,0.35307813
1.0,1.0942969
0.0,0.18050635
1.0,2.0199633
1.0,0.4764281
0.0,0.184142
0.0,0.341891
1.0,0.3852768
0.0,0.2244128
0.0,0.25312018
0.0,0.24207175
0.0,0.3406282
1.0,0.3496312
1.0,1.3202124
0.0,0.2503406
0.0,0.28670236
0.0,0.17423332
0.0,0.33388653
1.0,1.1172907
1.0,0.58215314
1.0,0.7379698
0.0,0.22279245
1.0,0.3831706
1.0,0.6634199
1.0,1.5094285
0.0,0.286745
1.0,0.32931936
0.0,0.2956453
1.0,0.8904111
0.0,0.28973886
1.0,0.5706524
0.0,0.13114001
1.0,0.906547
0.0,0.2706193
0.0,0.14079055
0.0,0.16613445
1.0,1.0857849
1.0,0.82837623
1.0,0.60658604
1.0,1.68272
1.0,1.0001321
1.0,0.37338394
0.0,0.26146957
0.0,0.14422527
1.0,1.108916
1.0,1.3785264
1.0,0.36336598
0.0,0.275324
1.0,0.43358898
0.0,0.23765653
1.0,0.8988146
1.0,1.0405662
1.0,0.58364385
1.0,0.9509515
0.0,0.32151318
1.0,0.640134
1.0,1.6261976
1.0,0.4157443
1.0,1.6409991
1.0,0.3632924
1.0,0.98629826
1.0,1.366204
1.0,0.7336497
1.0,0.4544772
0.0,0.3399463
0.0,0.26188403
1.0,0.5911178
1.0,1.4966884
0.0,0.17572498
1.0,1.028229
0.0,0.21875626
1.0,0.7136185
1.0,0.9392231
1.0,0.42147952
1.0,0.6323566
1.0,0.38126582
1.0,1.3431554
1.0,1.1491709
1.0,0.59751403
0.0,0.23284
0.0,0.25857252
1.0,1.1478226
0.0,0.24889404
1.0,0.81790125
1.0,1.3129869
0.0,0.27221203
1.0,0.6636837
1.0,1.2617297
0.0,0.19912341
1.0,1.0099986
0.0,0.26117525
0.0,0.31937566
1.0,0.43024844
0.0,0.2021234
0.0,0.17956156
1.0,0.77281094
0.0,0.33469862
0.0,0.2357611
1.0,0.91654176
0.0,0.26111794
1.0,1.3676465
1.0,0.40170115
1.0,1.218174
0.0,0.21006191
1.0,1.3844595
1.0,0.70355326
0.0,0.22612011
1.0,0.5676254
1.0,0.5103194
0.0,0.32801938
0.0,0.26974347
1.0,0.36995056
1.0,0.68391484
1.0,0.4381171
1.0,0.9581116
0.0,0.20222181
1.0,0.3769106
1.0,0.9443211
0.0,0.19111913
0.0,0.3427949
1.0,1.1585503
0.0,0.20925444
0.0,0.35635978
0.0,0.24675998
1.0,0.41419184
1.0,0.98797935
1.0,1.1991465
1.0,0.4094761
0.0,0.32378605
1.0,1.3356557
1.0,2.1227124
1.0,0.81171125
1.0,1.2648182
1.0,0.96721524
0.0,0.16656268
1.0,1.0617192
1.0,0.5871741
0.0,0.31865484
1.0,1.2700379
0.0,0.22323179
1.0,0.6558675
1.0,0.49295092
1.0,1.0255272
0.0,0.35237616
0.0,0.3108379
1.0,0.7776502
1.0,0.8283914
1.0,0.5865816
1.0,0.9012117
0.0,0.27660412
0.0,0.12668392
0.0,0.20182106
1.0,1.1587667
1.0,0.35001463
1.0,2.0995195
1.0,1.0070736
1.0,0.83026105
0.0,0.31806412
1.0,0.43050444
1.0,0.52562624
0.0,0.23537958
1.0,1.1931136
1.0,0.7193079
1.0,1.0329792
0.0,0.14778191
0.0,0.25638694
0.0,0.31921512
0.0,0.19802964
1.0,0.9353973
0.0,0.28197253
1.0,1.2552724
0.0,0.34361446
0.0,0.13925695
1.0,0.407443
1.0,0.36051312
1.0,0.53739786
1.0,0.37877104
1.0,2.3510559
1.0,0.8615483
1.0,1.3319051
1.0,1.9308598
1.0,0.54940856
0.0,0.27611372
1.0,0.795356
1.0,0.62929446
1.0,1.0707014
1.0,0.5681045
1.0,0.5293413
1.0,0.4699481
0.0,0.25898284
0.0,0.3347578
1.0,1.5700595
0.0,0.2841417
0.0,0.22984344
0.0,0.3112118
1.0,0.8291433
1.0,1.2325814
0.0,0.32433748
1.0,1.8704226
0.0,0.2175355
1.0,0.90997106
0.0,0.31380934
1.0,0.38374174
0.0,0.17105183
1.0,0.3910421
1.0,0.45278186
0.0,0.2682672
1.0,0.7744573
1.0,2.1451676
1.0,0.61950064
1.0,0.37297374
0.0,0.1957472
1.0,1.126533
1.0,1.0732627
1.0,0.37468886
0.0,0.21284884
0.0,0.28289545
1.0,0.9633737
1.0,0.57547206
0.0,0.32078183
0.0,0.3182969
0.0,0.17840981
1.0,1.1136212
0.0,0.15895978
1.0,0.39909023
1.0,0.48935944
1.0,1.9702654
1.0,0.8767253
1.0,0.50010437
1.0,0.42693907
1.0,1.3968921
0.0,0.2681902
1.0,1.3092091
1.0,0.39059836
1.0,0.5194394
0.0,0.21817839
